"id","eng_query","sql_query","parent_id"
-1,"total units on back order by location","select [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION",1270
-1,"top 'duckling_amount0' total units on back order by location","select top 'duckling_amount0' [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by location","select top 'duckling_amount0' [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by location","select top 5 [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by location","select top 5 [Inventory Master Locations].LOCATION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].LOCATION order by sum([Inventory Location Information].UBO) asc",1270
-1,"total units on back order by description","select [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION",1270
-1,"top 'duckling_amount0' total units on back order by description","select top 'duckling_amount0' [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom 'duckling_amount0' total units on back order by description","select top 'duckling_amount0' [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION order by sum([Inventory Location Information].UBO) asc",1270
-1,"top total units on back order by description","select top 5 [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION order by sum([Inventory Location Information].UBO) desc",1270
-1,"bottom total units on back order by description","select top 5 [Inventory Master Locations].DESCRIPTION, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Master Locations].DESCRIPTION order by sum([Inventory Location Information].UBO) asc",1270
-1,"total units on back order by product code","select [Inventory Location Information].ProdCode, sum([Inventory Location Information].UBO) from [Inventory Location Information] join [Inventory Master Locations] on [Inventory Master Locations].LOCATION = [Inventory Location Information].location group by [Inventory Location Information].ProdCode",1270
